id,Story,Question,Answer,Hint
61,"""You were bitten by a vampire. You went to your caretakers and were asked to immediately go to the hospital, as it might be dangerous to your health, or maybe to someone else\'s, too. You were so scared, that you told them you had insect bites. You were discharged from the hospital in an hour, and were advised to eat something healthy.""",,"""9 of clubs""",
62,"""You walk towards your friend’s college(WGSHA) to meet him for snacks.""","""Name the isotope of this element which is used to tag DNA and RNA changes and is commonly used in medicine""","""phosphorous 32""","""Its usage in medicine is a characteristic feature. """
63,"""You end up at KMC food court. But everything seems inedible. You leave thinking maybe you got sick. 
Where do you go now?""",,"""compton shift""",
64,"""You lurk around the EDU building hoping to get a clue about what you have to do now. 
You are unable to get any clue, so think of following your enhanced sense of smell this time.""","""What unit is this?""","""parsec""",
65,"""You sense an odd smell emanaiting from MAPS, and decide to follow it. You see the same person who was cured, with some people following him. 
What do you do now?""","""A baby bat is 4 cm high. Determine the radius of curvature of a spherical mirror that projects the bat so that its image is twice as high, inverted and is in the distance of 12 cm in front of the mirror. (in cm)""","""8""",
66,"""You try following them, and, over time, you realize that the people are vampires. They notice you, and threaten you not to try to mess with them.""",,"""u""",
67,"""You ignore their threats, and follow them and they enter DeeTee. You overhear them talk and listen only a word or two and you hear the word professor, before you can hear anything else they started looking at you.
What do you do now?""","""Next number in the series? 3, 6, 13,  28,  59""","""122""",
68,"""They start to leave DeeTee, and you try to follow them, but they move really fast, so you lose track of them, and end up at Zeal.""","""What is the stopping potential applied to a photocell, in which electrons with a maximum kinetic energy of 5.6 eV are emitted.""",5.6,
69,"""Early in the morning, you try to talk to professor, you are outside his cabin in AB2. You try to open, it but it’s closed. You find it very it very suspicious that physics lab has its door opened, but professor’s cabin doess not.
What do you do next?""","""Doctor: Patient :: Politician :""","""voter""",
70,"""The labyrinth of manipal takes another victim in its grasps.You roam around AB2 in search of the professor, and get lost. You keep wandering.""","""When beams of red, blue and green lights fell on the same spot, the colour of the light becomes -""","""white""",
71,"""You find the professor covered in blood, with a watch in his hand. You call the ambulance. He is been taken to the hospital. You need to find a cure for yourself. You were given a hint by the professor that it is something to do with those 3 students from MCON.
What do you do now?"" ","""How many onto functions can be defined from the set A = {1, 2, 3, 4} to {a, b, c}?""","""36""",
72,"""You decide to take your girlfriend's help. You wait for her outside the AB5 gate. She takes a lot of time to come outside.""","""Not to be confused with a certain super hero\'s home, this substance is rarely found. An interesting property of these is that lasers made using these are more powerful than the US power grid, a feat for which it was featured in the Guinness Book of world records.""","""krypton""","""Also the name of an upcoming TV Series based on said super hero"""
73,"""The two of you make a run to meet those three MCON students, to ask about the ingredients or the elements for the serum that can make you a normal human again.""","""Which element among 3d– transition elements, exhibits the highest oxidation state?""","""manganese""",
74,"""You lose your way to MCONS, and reached NIH, instead.""","""You are at a charity event and have purchased 1 ticket for a raffle. Prior to the drawing, you are told that there are 200 people at the event (including yourself), and
about 3/4 of the people at the event purchased tickets to the raffle. Of those people, equal numbers of people purchased 1, 2, and 3 tickets, respectively. Based on these estimations, what is the probability that you win the raffle? ""","""1/300""",
75,"""You ask someone for directions, and finally find your way to MCONS. You come across the bio-tech lab. You collect some ingredients there.
Where do you go next?""","""Fill in the blank: CMM, EOO, GQQ,  _____ , KUU""","""ITT""",
76,"""You look for the chemistry lab, and find it, with some effort.""","""x1,x2,x3 are the roots of x^3+3x^2-7x+1, find x1^(2)+x2^(2)+x3^(2)""","""23""",
77,"""You make the serum there. Now it’s almost ready, but you remember the behaviour changes the other guy underwent, so you need to experiment with the serum.
What do you do next?""","""The rate of a particular reaction quadruples when the temperature changes from 293K to 313K. Calculate activation energy. (Two decimal places)""","""52.86""",
78,"""You suddenly remember that you have to attend 6 Hours of EG, continuously. You\'d missed a lab a few weeks ago."" ","""If T (tallness), Y (yellow colour) are dominant, when a plant heterozygous for both traits is selfed, then the ratio of pure homozygous dwarf and green would be""","""16""",
79,"""You make a run towards physics lab to find the professor, as soon as you\'re done with the EG lab. You remember that he was taken to the hospital, and he might have been discharged.""","""IZJY, KZLY, MZNY, ____, QZRY""","""OZPY""",
80,"""You meet your teacher, and he doesn't look too well. He asks you to go and get his things from MV seminar hall, which he left yesterday during a lecture.""","""Vitamin A is a deficiency estimates to kill about 670,000 under the age of five. This genetically engineered food item was intended to be grown and consumed in areas where there is a shortage of vitamin A.""","""golden rice""","""Rice plants can synthesise  β-carotene"""
81,"Youget the things, and meet the professor at his home. You tell him about what you did, and what is needed now. The professor gives you permission to test the serum on him. You give him the serum and leave the house.""","""A particular category of tornado which derives its name from a fluid and your selfie pose""","""waterspout""",
82,"""You enter the elevator, and it gets stuck in between two floors.""","""An awards program started by the Obama adminstration with notable winners such as Microsoft, Proctor& Gamble and UC Berkeley""","""patents for humanity""",
